version,msg_type,device_id,seq_num,timestamp_sent,flags,checksum,temp_C,humidity_%,arrival_time
1,0,2,0,1766639920,0,28877,,,1766639920.673231
1,1,2,1,1766639921,0,27457,20.3,44.9,1766639921.1743004
1,1,2,2,1766639922,0,26943,20.6,44.8,1766639922.174983
1,1,2,3,1766639923,0,26429,20.9,44.7,1766639923.1763065
1,1,2,5,1766639925,0,25406,20.9,44.6,1766639925.176917
1,1,2,6,1766639926,0,24895,20.8,44.6,1766639926.177464
1,2,2,0,1766639926,0,26829,,,1766639926.1776183
1,1,2,7,1766639927,2,24375,21.1,44.9,1766639927.1779547
1,1,2,8,1766639928,0,23866,21.1,44.8,1766639928.1787333
1,1,2,9,1766639933,2,22334,20.8,44.5,1766639933.1818547
1,2,2,0,1766639933,0,25037,,,1766639933.182202
1,1,2,10,1766639934,2,21828,20.5,44.2,1766639934.1827495
1,1,2,11,1766639935,0,21318,20.7,44.0,1766639935.1837876
1,1,2,12,1766639936,0,20810,20.4,43.9,1766639936.1839342
1,1,2,13,1766639937,0,20298,20.3,44.0,1766639937.184638
1,1,2,14,1766639938,0,19787,20.0,44.2,1766639938.1848457
1,2,2,0,1766639938,0,23757,,,1766639938.1849136
1,1,2,15,1766639939,0,19275,19.8,44.4,1766639939.1855218
1,1,2,16,1766639940,0,18759,19.9,44.7,1766639940.185712
1,1,2,17,1766639941,0,18250,19.7,44.6,1766639941.1862385
1,1,2,18,1766639942,0,17737,19.9,44.5,1766639942.9321978
1,1,2,19,1766639943,0,17224,20.0,44.5,1766639943.9330845
1,2,2,0,1766639943,0,22477,,,1766639943.9332275
1,1,2,20,1766639944,0,16715,20.0,44.2,1766639944.9337347
1,1,2,21,1766639945,0,16202,20.0,44.3,1766639945.934542
1,1,2,22,1766639946,0,15695,19.7,44.1,1766639946.93497
1,1,2,23,1766639947,2,15175,20.0,44.4,1766639947.935394
1,2,2,0,1766639948,0,21197,,,1766639948.9366949
1,1,2,25,1766639949,0,14153,20.0,44.4,1766639949.9373217
1,1,2,26,1766639950,2,13639,19.7,44.7,1766639950.9381208
1,1,2,27,1766639951,0,13125,20.0,44.8,1766639951.9394028
1,1,2,28,1766639952,0,12610,20.3,44.8,1766639952.9398525
1,1,2,29,1766639953,0,12101,20.1,44.7,1766639953.940135
1,2,2,0,1766639953,0,19917,,,1766639953.94021
1,1,2,31,1766639955,0,11074,20.6,44.5,1766639955.9410915
1,1,2,32,1766639956,0,10561,20.4,44.8,1766639956.9414434
1,1,2,33,1766639957,0,10050,20.6,44.5,1766639957.941946
1,1,2,34,1766639958,0,9539,20.8,44.2,1766639958.9425046
1,2,2,0,1766639958,0,18637,,,1766639958.9425774
1,1,2,35,1766639959,0,9029,20.6,44.2,1766639959.9434004
1,1,2,36,1766639960,0,8519,20.4,44.2,1766639960.943225
1,1,2,37,1766639961,0,8002,20.7,44.4,1766639961.944145
1,1,2,38,1766639962,0,7491,20.6,44.4,1766639962.944279
1,1,2,39,1766639963,0,6981,20.5,44.3,1766639963.9449847
1,2,2,0,1766639963,0,17357,,,1766639963.945108
1,1,2,40,1766639964,0,6471,20.4,44.2,1766639964.945338
1,1,2,41,1766639965,0,5964,20.1,44.0,1766639965.9460611
1,1,2,42,1766639966,0,5454,20.0,43.9,1766639966.946181
1,1,2,43,1766639967,0,4939,20.0,44.2,1766639967.9472046
1,1,2,44,1766639968,0,4426,20.0,44.3,1766639968.946954
1,2,2,0,1766639968,0,16077,,,1766639968.9469647
1,1,2,45,1766639969,0,3909,20.3,44.5,1766639969.947686
1,1,2,46,1766639970,0,3401,20.0,44.4,1766639970.9486063
1,1,2,47,1766639971,0,2891,20.0,44.2,1766639971.9489355
1,1,2,48,1766639972,0,2381,19.8,44.2,1766639972.949253
1,1,2,49,1766639973,0,1867,19.9,44.3,1766639973.950184
1,2,2,0,1766639973,0,14797,,,1766639973.950349
1,1,2,50,1766639974,0,1355,20.1,44.1,1766639974.9508073
1,1,2,51,1766639976,2,579,20.4,44.4,1766639976.6981087
1,1,2,52,1766639977,2,67,20.7,44.1,1766639977.698922
1,1,2,54,1766639979,2,64580,20.5,44.1,1766639979.7001936
1,2,2,0,1766639979,0,13261,,,1766639979.7006137
1,1,2,55,1766639980,0,64067,20.8,44.1,1766639980.7011611
1,1,2,56,1766639981,0,63560,20.5,43.9,1766639981.7014108
